 ,Area,Mean,Min,Max,Angle,Length
102,5.093,104.792,80,147,43.877,9.593
103,9.690,97.161,74,150,-53.297,18.245
104,4.385,104.097,85,165,34.695,8.410
105,11.600,91.695,44,170,-84.428,21.912
106,11.600,98.256,68,159,3.489,21.849
107,7.568,116.271,97,153,43.493,14.298
108,7.851,118.550,85,147,-82.747,14.746
109,24.332,95.959,63,197,-102.420,45.752
110,7.286,101.301,65,140,-7.815,13.691
111,19.098,53.352,22,119,77.005,35.483
112,6.083,73.419,47,168,-13.392,11.482
113,22.988,105.905,21,162,24.444,41.776
114,9.620,129.059,85,193,117.324,17.961
115,12.732,5.400,0,127,-26.281,24.026
116,4.244,29.233,0,142,58.392,8.119
117,12.591,109.191,86,197,-23.114,23.712
118,4.103,118.310,85,172,60.751,7.621
119,14.005,65.884,10,164,51.973,26.335
120,5.942,100.452,78,156,148.570,11.221
121,16.552,74.350,53,141,-61.468,31.181
122,4.527,103.219,61,224,26.565,9.515
123,10.964,104.994,89,144,66.413,20.604
124,5.446,111.753,85,150,-18.435,9.251
125,12.944,116.246,90,179,-43.238,24.459
126,3.961,111.643,85,159,43.531,7.337
127,14.925,89.161,62,170,-34.144,27.957
128,4.810,85.544,56,142,57.265,8.853
129,14.430,88.015,62,172,-28.566,27.254
130,4.527,84.344,60,145,56.310,7.671
131,12.449,99.193,72,143,-41.186,22.617
132,4.244,100.133,82,128,48.991,8.106
133,14.288,97.431,75,167,86.600,26.909
134,4.951,105.500,79,162,-3.270,9.324
135,15.703,84.676,54,146,32.115,29.516
136,6.507,97.489,67,158,-52.125,12.130
137,15.632,80.860,38,135,-9.888,29.426
138,6.225,99.193,70,183,79.461,11.632
139,14.713,119.668,45,242,56.310,24.932
140,4.668,120.470,85,177,151.113,8.809
141,13.581,99.755,71,160,45.000,24.072
142,5.942,108.464,73,191,148.570,11.221
143,14.288,66.015,32,165,58.355,26.867
144,6.083,88.314,54,172,-28.926,11.547
145,15.137,95.832,30,131,73.761,28.532
146,5.376,114.816,85,155,-4.514,10.138
147,16.976,92.600,57,119,78.970,31.974
148,6.083,109.744,85,181,-7.943,11.547
149,15.278,105.296,81,134,-108.939,28.680
150,4.527,108.266,85,141,-14.931,8.258
